         Time	     Pressure	       Length	       Height	
       16.1164       0.409184         61.471        61.4252
       16.2292       0.408378        61.6192        61.5646
        16.344       0.407622        61.7746        61.7113
       16.4609       0.406925        61.9373        61.8657
       16.5784       0.406259        62.1047        62.0255
       16.6953       0.405564        62.2745        63.2496
       16.8119       0.404795        62.4463        63.3646
       16.9293       0.403942        62.6212        63.4878
       17.0442       0.403053        62.7936        63.6136
       17.1577       0.402158        62.9637         63.738
       17.2709       0.401274        63.1315        63.8604
       17.3866       0.400378        63.3001        63.9837
       17.5042       0.399511        63.4688        64.1089
        17.624        0.39866        63.6376         64.237
       17.7426       0.397851         63.802        64.3638
       17.8618       0.397056         63.965        64.4918
       17.9819       0.396279        64.6522        64.6222
       18.1033        0.39554        64.7928        64.7562
       18.2266       0.394824         64.939        64.8954
        18.351       0.394138        65.0906        65.0399
       18.4725       0.393478        65.2428        65.1851
       18.5921       0.392818        65.3965         65.332
       18.7112       0.392131         65.553         65.482
       18.8306       0.391391        65.7128        66.6788
       18.9512       0.390598        65.8767        66.7882
       19.0732       0.389773        66.0448        66.9067
       19.1968        0.38896        66.2168        67.0327
       19.3223       0.388183        66.3925         67.165
       19.4481       0.387442        66.5683        67.2966
       19.5743        0.38673        66.7424         67.426
       19.7009       0.386023        66.9138        67.5535
       19.8278       0.385302        67.0824        67.6808
       19.9556       0.384547        67.2493        67.8086
       20.0846       0.383778        67.4156         67.938
       20.2115       0.383025        68.1158        68.0663
       20.3367        0.38231        68.2483        68.1946
       20.4613       0.381628        68.3828        68.3247
       20.5862       0.380961         68.521        68.4581
       20.7134       0.380282        68.6657        68.5978
       20.8434       0.379598        68.8177        68.7445
       20.9722       0.378931        68.9723        68.8941
        21.102       0.378265        69.1321        69.0491
       21.2332       0.377608        69.2973        70.2655
       21.2333       0.377608        69.2973        70.2655
